id,order
0,id like a small size pizza with pineapple sausage and without mushrooms please
1,id like to place an order for one pizza with blue cheese and meatall on it but no chicken that's all
2,let me finalize with 7 medium-size pizzas with garlic peper and salami with 7 cans of sprite
3,i'd like toput an order in for a chard and pickled onions pie with no olives
4,i'm raving a large olives and italian sausage pizza without the heavy on cheese
5,we need a large pizza with capers and cumin and glten-free crust please
6,i feel like ordering a xl bacon and chicken pizza and i need you to leave off the olives please
7,i need you toorder me 12 medium pizzas with capers and two small pizzas
8,please help me rder a small pizza with roasted eggplant tuna and i do not want the veggies lover
9,i'm having abunch of people over tonight so i need four medium pies with peas and a lot of cheese
10,how about grabbing 1 extra large pizza with red onions roasted red onion but hold any pesto please
11,i would lke to try the a xl chicken and sweet potatoes pie no ham
12,can i please get a extra large pizza and i want that veggies loer also i want parmasean on there as well as srracha sauce
13,i'll just tae three small pizzas with ppper
14,i'm having a party in a few hours and i need 1 pizza and i'd like tuna on it along with sriracha sauce and bacon thanks
15,a small spicy re sauce pizza and a small pepperoni pizza
16,my order is for a lunch pie with jalepenos onions but please no bacon thanks
17,could  settle on two can waters and a medium-sized cheeseburger and tomatoe sauce pizza
18,i'll make my choice as eleven pies with banana peppers cheeseburger but hold the tomato sauce
19,let's settle on a pizza with bbq chicken as well as tuna however i do not want any peas thank you
20,i want to place an order for a medim pizza with vegan pepperoni and caprs on it
21,i want to a a lot of lrge size pie with gorgonzola and ham without any a lot of cheese
22,for this afternoon i think i'd like a large pizza with goat cheese buffalo sauce and bacon and three large fanta
23,i will get a medium-sized pan oregano and mushroom pie
24,make sure to get me a medium-size pizza with banan pepper sausage and onions
25,i like to a large pie with ham cmbination and no peppers
26,i'd like to secure a personal pizza with pepperois and pesto and no mushrooms please
27,i'd like to have a large sized pie which has alfredo chicken and hawaiian sun-driedtomatoes
28,i'd like to secure a large ricotta cheese and mushroom pizza with no ham
29,beginan order for thirteen hot peppers and onion pizza i don't want any mushrooms on it and i'd like it extra large
30,15 small pizzas with meatball mushroom and olives
31,three large jalepeno peppers and a two liter Spiced cider
32,i have some friends coming over so i'll take 1 small pizza with groud beef and pesto but no pepperoni
33,okay good afternoon i'd like a pizza with smokd salmon chorizo but do not add sauce
34,i want to finalize with a pie along with caramelized onions leeks and without gruyere cheese
35,i think i'll grb a medium-sized pizza with lemon zest arugula olives
36,i need you to order me 1 extra large pizza with meatball pineapple and onions
37,please arrange toget six parsley and green peppers pies with no anchovies
38,i want you to put in an order for 1 medium-sized pie with buffalo sauce and new york style but do not add pineapple please
39,how about adding a extra large italian sausage pizza and a large stuff crust pizza with four large ice teas
40,i' try a medium-size pizza with pickles also if you could also put some bbq sauce on there and if you could also have that with feta cheese i'd really appreciate that that's all
41,let me pick a pizza and definitely extra roasted tomatoes and how about some black beans too but leave the pickled onions off it that's all
42,could you please arrange for a medium-szed pie with balsamic glaze prosciutto and no redonions please
43,i am just ordering soft drinks tonight give me a pie along with arugula yellow peppers and without leeks
44,i'dtry a small pizza with balsamic glae bacon additional sauce and additional cheese and a medium pizza with sausage and anchovies
45,i'm opting for two extra large pies along with balsamic glaze fontina cheese but avoid red peppers
46,could you put in a medium pie with no garlic powder
47,i'm aiming for a pizza with pepperonis and pesto and with no all the veggies
48,i need a pizza with fontina cheese roasted tomatoes and pepperoni
49,hi how are you i have an order for 13 pizzas please put parsley mushrooms and ricotta cheese on all 13 that's great thanks
50,i need an order of a med pie with cherry tomatoes arugula and with no jaepeno peppers please
51,i'd like to order 1 pickles and bacon large-size pizza and 1 pineapple and pickles medium pizza
52,hi tonight i want a lare tomatoes pizza with alfredo chicken and italian sausage
53,i'm having a arty in a few hours and i need a medium-size oion and olive pie without pepperoni
54,i lie a large-size pizza along with red onions and basl please avoid pineapple
55,i need to have fifteen xl pizzas with everything and fifteen xl pizzas with mushrooms and a tiny bit of cheese and six xl 7 up
56,i want to try a pizza with lettuce and tofu as toppings and make sure there is no yellow peppers on it okay
57,a med pizza with sausage and banana pepper
58,i justwant five medium-sized salami pizzas with stuffed crust and no olives
59,plae my order for 1 medium-szed pizza with lemon zest and mushrooms and without any extra cheese please
60,i feel like going with a lage-size pizza with double roasted red onion red cabbage and mushrooms please
61,good evening for tonight i'll take a lunch mint pie with tomato sauce and olives
62,yeah jut get me five Orange jice three xl fantas and a large dr pepper
63,how about grabbing a pie with lage size along with cheddar cheese and mushrooms but no peppers
64,can you please give me a small pizza along with banana pepper capers but avoid galic
65,placean order for 5 pizzas with smoked salmon and chicken avoid adding a bunch of cheese please
66,please arrange to get a medium-sized pizza with tuna and a tiny bit of cheese but no sausage
67,how about fxing me up with 1 pie with red cabbage re peppers and pineapple
68,i like to 1 pizza with ground eef and sausage toppings no olives
69,do me a favor and get me 2 number of large-ize pies along with tofu and a ot of cheese
70,i'd be happy with thirteen Limeade but just one fanta in addition to that i'll take one doctor pepper make it the med size that's it
71,ill try the a large pizza with garlic and tuna without peppers
72,could you please get me a extra large stuff crust pizza with banana pepper and fresh pesto
73,ineed prsonal pizza along with poppy seeds and anchovies but hold banana peper
74,let me secure a pizza with bacon and black olives but no chicken
75,can you get me a xl pizza with truffle oil and zucchini and stuffed crust please
76,my order for today is for a pizza with fontina cheese sausage and chicken please
77,i'd like to place an order for a pizza and make sure there's lttle green bell peppers on it and ground bef on there also but definitely no pesto thanks a lot
78,i 'd like to get a large-size green olives and spinach pie without any black olives
79,can you handle this order a large thin crust pizza with bacon and red onions on it
80,please i want eigt pizzas in lunch size along with yellow peppers zuccini but without olives
81,i need an order placed for one small pizza with veggie and duck and no leeks
82,could yo get me a medium-sized garlic and duck pizza without kimchi please
83,i'd love to try out 13 pies in extra large size along with poppy seeds and pie apple
84,1 pizza and please make it with broccoli chicken and basil
85,id like to order a pie with lunch size along with roasted red onion and meaball without mushrooms
86,i guess i'll get 4 lunch pizzas with fontina cheese and ham
87,i would take xl pie with extra cherry tomatoes banana peppers mushroom
88,let's finalize with one pizza which is personal in size along with bacon and gorgonzola but no lettuce
89,id like to order a medium-sized basil and roasted eggplant pie no more cheese
90,would like a pie with jalapenos and add some ham and please avoid pineapple
91,orer me a medium-size pizza with jalapenos canadian baon olives
92,i a just ordering soft drinks tonight give me a larg-size bay leaves pizza with sauce and cheese
93,i'll go ith fourteen pizzas with a tiny bit of garlic and anchovies
94,okay good afternoon i'd like 1 pie which is large along with zucchini and peppers but no supree
95,place my order for a exta large pepperoni pizza with double cheese hold the mushrooms
96,6 xl pizzas with parmesan and pineapples
97,i'd be happy with a pizza sauage a bunch of cheese and don't include tuna
98,please put up a medium-sized gruyere cheese and onion pie with olives and a sparkling water
99,can you please give me a large thin crust duck pizza with a large dotor peppers
100,i think i'll try a large pizza with green peppers ground beef sriracha sace and black olives and i'd also like to get four small cffees
101,i'm all ready to order okay please give me a pizza with small size along with salami pineapples but no peppers
102,6 med pizzas with lamb and low fat cheese
103,hlp me get 1 medium pizza with black olive and spicy ed sauce and no mushrooms please
104,eight parmesan peas medium pizzas without lettuce
105,"this time, i'll take twelve medim-sized haaiian banana pepper pizzas"
106,i wantedto have a smll pie and for toppings make them balsmic glaze peppers as well as mushrooms i appreciate it
107,repeat my order for a large pizza with jalepenos vegan peppeoni light on sauce and light on cheese and a medium pizza with sausage and anchovies
108,allow me to order 1 small pizza with green olives and sausage 1 small pizza with green olives sausage and mushrooms and 1 medium pizza with green olives and green peppers
109,1 a lot of large pizza with yellow peppers a lot of cheese and no pesto
110,i would like ten extra lage pizzas with additional cheese and light sauce
111,good afternoon i'm in the mood for two pizzas in med size along with green peppers bacon and a lemon
112,eight stuffed crust pizzas with a ittle bit mushy peas one Spiced cider
113,for today please make me a med pizza with roasted eggplant extra augula olives
114,let' make it a xl pizza with bacon chese and pineapple
115,a pizza lunch sized with a little bit red cabbage kmchi and mushrooms added
116,could you put in pizza along with pepperoni and more cheese
117,a medium-sized pizza with sun-dried tomatoes and buffalo sauce
118,i need a total of 1 large pizza pie and i need a total of both hot peppers and lettuce on it but please no ham
119,please put up 1 pizza and please put hamburger and artichokes on there but definitely no bacn thanks
120,i'm goin to go with 1 pizza which is extra large in size along with truffe oil and mushrooms but no pineapple
